code,description
i0385,"Circuit board collection from scrapped radio transceivers"
i7165,"Brass knuckles with spikes and reinforced palm guard"
i4796,"Reactor fuel cassette stored in regulation shielding canister, fully certified"
i8549,"Voltage regulator board stripped from a military-grade UPS system"
i5546,"Truck-sized leaf spring suspension assembly, heavily worn"
i9671,"Mechanical pressure gauge rated up to 300 PSI, still accurate"
i8906,"Crossbow with tensioned limbs and a quiver of bolts"
i2567,"Reactor fuel cassette with micro-fractures in casing, handle with extreme caution"
i8132,"Machete with sharpened edge and leather sheath"
i3491,"Spearhead forged from steel, mounted on a wooden shaft"
